payload/cmd/windows/powershell/powershell_reverse_tcp                                       normal     No     Powershell Exec
payload/cmd/windows/powershell/powershell_reverse_tcp_ssl                                   normal     No     Powershell Exec
payload/cmd/windows/powershell/speak_pwned                                                  normal     No     Powershell Exec
payload/cmd/windows/powershell/x64/powershell_bind_tcp                                      normal     No     Powershell Exec
payload/cmd/windows/powershell/x64/powershell_reverse_tcp                                   normal     No     Powershell Exec
payload/cmd/windows/powershell/x64/powershell_reverse_tcp_ssl                               normal     No     Powershell Exec
payload/cmd/windows/powershell/dllinject/bind_ipv6_tcp                                      normal     No     Powershell Exec, Bind IPv6 TCP Stager (Windows x86)
payload/cmd/windows/powershell/meterpreter/bind_ipv6_tcp                                    normal     No     Powershell Exec, Bind IPv6 TCP Stager (Windows x86)
payload/cmd/windows/powershell/patchupdllinject/bind_ipv6_tcp                               normal     No     Powershell Exec, Bind IPv6 TCP Stager (Windows x86)
payload/cmd/windows/powershell/patchupmeterpreter/bind_ipv6_tcp                             normal     No     Powershell Exec, Bind IPv6 TCP Stager (Windows x86)
payload/cmd/windows/powershell/peinject/bind_ipv6_tcp                                       normal     No     Powershell Exec, Bind IPv6 TCP Stager (Windows x86)
payload/cmd/windows/powershell/vncinject/bind_ipv6_tcp                                      normal     No     Powershell Exec, Bind IPv6 TCP Stager (Windows x86)
payload/cmd/windows/powershell/dllinject/bind_ipv6_tcp_uuid                                 normal     No     Powershell Exec, Bind IPv6 TCP Stager with UUID Support (Windows x86)
payload/cmd/windows/powershell/meterpreter/bind_ipv6_tcp_uuid                               normal     No     Powershell Exec, Bind IPv6 TCP Stager with UUID Support (Windows x86)
payload/cmd/windows/powershell/patchupdllinject/bind_ipv6_tcp_uuid                          normal     No     Powershell Exec, Bind IPv6 TCP Stager with UUID Support (Windows x86)
payload/cmd/windows/powershell/patchupmeterpreter/bind_ipv6_tcp_uuid                        normal     No     Powershell Exec, Bind IPv6 TCP Stager with UUID Support (Windows x86)
payload/cmd/windows/powershell/peinject/bind_ipv6_tcp_uuid                                  normal     No     Powershell Exec, Bind IPv6 TCP Stager with UUID Support (Windows x86)
payload/cmd/windows/powershell/vncinject/bind_ipv6_tcp_uuid                                 normal     No     Powershell Exec, Bind IPv6 TCP Stager with UUID Support (Windows x86)
payload/cmd/windows/powershell/dllinject/bind_nonx_tcp                                      normal     No     Powershell Exec, Bind TCP Stager (No NX or Win7)
payload/cmd/windows/powershell/meterpreter/bind_nonx_tcp                                    normal     No     Powershell Exec, Bind TCP Stager (No NX or Win7)
payload/cmd/windows/powershell/patchupdllinject/bind_nonx_tcp                               normal     No     Powershell Exec, Bind TCP Stager (No NX or Win7)
payload/cmd/windows/powershell/patchupmeterpreter/bind_nonx_tcp                             normal     No     Powershell Exec, Bind TCP Stager (No NX or Win7)
payload/cmd/windows/powershell/peinject/bind_nonx_tcp                                       normal     No     Powershell Exec, Bind TCP Stager (No NX or Win7)
payload/cmd/windows/powershell/vncinject/bind_nonx_tcp                                      normal     No     Powershell Exec, Bind TCP Stager (No NX or Win7)
payload/cmd/windows/powershell/dllinject/bind_tcp_rc4                                       normal     No     Powershell Exec, Bind TCP Stager (RC4 Stage Encryption, Metasm)
